"Title" "Artist" "danceability" "energy" "loudness" "speechiness" "acousticness" "instrumentalness" "valence" "tempo" "duration" "Genre"
"Last Friday Night (T.G.I.F.)" "Katy Perry" 0.649 0.815 -3.796 0.0415 0.00125 4.31e-05 0.765 126.03 230.747 "Pop"
"I Kissed A Girl" "Katy Perry" 0.699 0.76 -3.173 0.0677 0.00223 0 0.696 129.996 179.64 "Pop"
"Just Dance" "Lady Gaga" 0.821 0.741 -4.57 0.0313 0.0278 2.51e-05 0.741 118.984 244.44 "Pop"
"Sk8er Boi" "Avril Lavigne" 0.487 0.9 -4.417 0.0482 6.79e-05 0 0.484 149.937 204 "Pop"
"TiK ToK" "Kesha" 0.745 0.667 -6.781 0.121 0.0608 0 0.633 120.046 199.733 "Pop"
"I Knew You Were Trouble" "Taylor Swift" 0.499 0.467 -6.744 0.0461 0.00593 1.65e-06 0.637 76.76 219.72 "Pop"
"Hollaback Girl" "Gwen Stefani" 0.926 0.916 -2.221 0.0929 0.35 6.17e-06 0.904 110.007 199.853 "Pop"
"Fergalicious" "Fergie" 0.907 0.576 -7.696 0.35 0.0552 0 0.79 129.049 292.339 "Pop"
"Toxic" "Britney Spears" 0.774 0.847 -3.925 0.121 0.0279 0.0183 0.923 143.011 198.813 "Pop"
"Stronger (What Doesn't Kill..." "Kelly Clarkson" 0.555 0.923 -5.908 0.0482 0.0411 0 0.682 116.012 221.92 "Pop"
"Girlfriend" "Avril Lavigne" 0.56 0.959 -2.433 0.102 0.000738 0.000206 0.67 163.983 216.6 "Pop"
"Firework" "Katy Perry" 0.638 0.832 -5.039 0.049 0.141 0 0.648 124.071 227.893 "Pop"
"Bad Romance" "Lady Gaga" 0.697 0.921 -3.75 0.0391 0.00305 3.65e-05 0.721 118.99 294.573 "Pop"
"Party In The U.S.A." "Miley Cyrus" 0.453 0.716 -4.525 0.0807 0.00143 0.000173 0.485 192.105 202.067 "Pop"
"Since U Been Gone" "Kelly Clarkson" 0.662 0.741 -5.406 0.0334 0.00165 0.0303 0.404 131 188.96 "Pop"
"Poker Face" "Lady Gaga" 0.846 0.815 -4.512 0.0761 0.139 2.19e-06 0.831 118.999 237.2 "Pop"
"Baby" "Justin Bieber" 0.656 0.841 -5.183 0.232 0.0544 0 0.522 65.024 214.24 "Pop"
"...Baby One More Time" "Britney Spears" 0.759 0.699 -5.745 0.0307 0.202 0.000131 0.907 92.96 211.067 "Pop"
"Oops!...I Did It Again" "Britney Spears" 0.751 0.834 -5.444 0.0437 0.3 1.77e-05 0.894 95.053 211.16 "Pop"
"Shake It Off" "Taylor Swift" 0.648 0.785 -5.414 0.165 0.0561 0 0.943 160.02 219.2 "Pop"
"Blank Space" "Taylor Swift" 0.752 0.678 -5.421 0.0646 0.085 1.64e-06 0.583 96.009 231.827 "Pop"
"The Sweet Escape" "Gwen Stefani" 0.755 0.765 -3.475 0.0356 0.218 0 0.737 119.954 246.467 "Pop"
"Rich Girl" "Gwen Stefani" 0.855 0.747 -2.713 0.0424 0.0276 3.45e-05 0.76 98.018 236.213 "Pop"
"Glamorous" "Fergie" 0.81 0.748 -6.464 0.211 0.32 0 0.669 130.983 246.573 "Pop"
"London Bridge" "Fergie" 0.748 0.63 -5.832 0.381 0.214 0 0.61 90.889 241.307 "Pop"
"Your Love Is My Drug" "Kesha" 0.829 0.607 -3.876 0.0897 0.0049 0 0.766 120.044 187.067 "Pop"
"Die Young" "Kesha" 0.711 0.7 -4.805 0.046 0.00498 0.000125 0.801 128.001 211.92 "Pop"
"CAN'T STOP THE FEELING! (Or..." "Justin Timberlake" 0.669 0.832 -5.72 0.0682 0.0106 0 0.7 113.035 237.547 "Pop"
"Rock Your Body" "Justin Timberlake" 0.891 0.714 -6.055 0.14 0.202 0.000234 0.818 100.972 267.267 "Pop"
"4 Minutes (feat. Justin Tim..." "Madonna" 0.753 0.931 -4.922 0.0652 0.00994 0.00696 0.767 113.029 189.693 "Pop"
"Nobody (Eng Ver.)" "Wonder Girls" 0.901 0.772 -5.428 0.0757 0.318 0 0.955 130.962 213.869 "K-Pop"
"Bo Peep Bo Peep" "T-ara" 0.824 0.95 -4.163 0.0308 0.00974 0.000117 0.97 128.031 225.04 "K-Pop"
"Mr." "KARA" 0.781 0.991 -1.502 0.069 0.0589 0.00104 0.805 126.063 193.613 "K-Pop"
"<U+C3D8><U+B9AC> <U+C3D8><U+B9AC> Sorry, Sorry" "SUPER JUNIOR" 0.706 0.972 -2.359 0.0352 0.0226 2.57e-06 0.962 129.946 232.333 "K-Pop"
"Mr. Chu" "Apink" 0.769 0.837 -3.499 0.0631 0.359 0 0.584 120.005 214.75 "K-Pop"
"Bubble Pop!" "HyunA" 0.833 0.872 -4.658 0.0578 0.0731 0.000839 0.774 145.973 212.271 "K-Pop"
"Catallena" "Orange Caramel" 0.69 0.931 -2.061 0.0298 0.0325 4.37e-05 0.957 126.983 193.154 "K-Pop"
"Haru Haru" "BIGBANG" 0.687 0.914 -5.02 0.0437 0.166 0 0.675 126.001 256.36 "K-Pop"
"LIPSTICK" "Orange Caramel" 0.809 0.867 -4.05 0.135 0.00816 5.78e-05 0.634 125.936 201.247 "K-Pop"
"Give it to me" "SISTAR" 0.716 0.943 -2.17 0.0411 0.187 0 0.961 136.04 201.352 "K-Pop"
"Roly-Poly" "T-ara" 0.831 0.85 -7.407 0.0528 0.0865 3.8e-05 0.899 130.006 214.427 "K-Pop"
"Twinkle,twinkle" "Girl's Day" 0.711 0.881 -2.482 0.0549 0.052 0 0.476 149.971 184.738 "K-Pop"
"Heart To Heart" "4Minute" 0.722 0.72 -3.531 0.0404 0.403 0 0.548 129.961 231.549 "K-Pop"
"STEP" "KARA" 0.618 0.975 -0.883 0.128 0.0113 3.09e-06 0.761 122.939 203.587 "K-Pop"
"Oh!" "Girls' Generation" 0.765 0.952 -4.231 0.044 0.0222 5.83e-06 0.629 144.003 189.216 "K-Pop"
"Mr. Simple" "SUPER JUNIOR" 0.913 0.745 -2.837 0.0506 0.000219 0.00208 0.795 127.996 241.827 "K-Pop"
"Dancing Queen" "ABBA" 0.539 0.884 -6.53 0.0403 0.382 0.00166 0.752 100.812 230.693 "Oldies"
"Mamma Mia" "ABBA" 0.75 0.754 -6.999 0.0327 0.287 0.000207 0.83 137.533 215.267 "Oldies"
"Super Trouper" "ABBA" 0.764 0.626 -8.274 0.0288 0.457 6.35e-06 0.961 118.324 254.6 "Oldies"
"Voulez-Vous" "ABBA" 0.707 0.775 -6.91 0.0371 0.124 0.000585 0.909 126.662 309.16 "Oldies"
"Footloose" "Kenny Loggins" 0.583 0.905 -6.132 0.0733 0.0984 0.00019 0.646 173.982 226.827 "Oldies"
"Take On Me" "a-ha" 0.573 0.902 -7.638 0.054 0.018 0.00125 0.876 84.412 225.28 "Oldies"
"Never Gonna Give You Up" "Rick Astley" 0.695 0.976 -6.982 0.0428 0.0262 2.41e-05 0.937 113.357 212.4 "Oldies"
"Together Forever" "Rick Astley" 0.669 0.989 -5.448 0.0464 0.186 3.12e-05 0.895 115.158 201.503 "Oldies"
"Uptown Girl" "Billy Joel" 0.696 0.943 -2.962 0.0431 0.0736 0 0.833 129.003 194.867 "Oldies"
"Whip It" "DEVO" 0.769 0.867 -7.436 0.0545 0.06 0.000562 0.962 157.874 158.64 "Oldies"
"Don't Stop 'Til You Get Eno..." "Michael Jackson" 0.878 0.821 -9.875 0.089 0.126 0.0461 0.947 118.881 365.467 "Oldies"
"Beat It - Single Version" "Michael Jackson" 0.779 0.867 -3.704 0.0457 0.0491 7.98e-06 0.915 138.858 258.04 "Oldies"
"P.Y.T. (Pretty Young Thing)" "Michael Jackson" 0.888 0.815 -4.909 0.0404 0.23 0.000424 0.961 127.273 238.733 "Oldies"
"Material Girl" "Madonna" 0.742 0.883 -3.419 0.0329 0.333 7.51e-06 0.978 136.506 240.28 "Oldies"
"Girls Just Want to Have Fun" "Cyndi Lauper" 0.704 0.646 -9.415 0.037 0.453 1.42e-05 0.713 120.54 227.867 "Oldies"
"You Spin Me Round (Like a R..." "Dead Or Alive" 0.567 0.943 -7.992 0.0387 0.0308 0.0966 0.965 128.207 199.667 "Oldies"
"Karma Chameleon" "Culture Club" 0.676 0.632 -9.927 0.037 0.199 0 0.946 91.987 239.212 "Oldies"
"Another One Bites The Dust ..." "Queen" 0.951 0.53 -6.594 0.178 0.115 0.179 0.699 109.979 214.653 "Rock"
"Somebody To Love - Remaster..." "Queen" 0.492 0.676 -6.861 0.0516 0.172 0 0.412 110.232 296.493 "Rock"
"Fat Bottomed Girls - Remast..." "Queen" 0.341 0.674 -7.643 0.0492 0.0416 5.47e-06 0.452 88.933 255.6 "Rock"
"Seven Nation Army" "The White Stripes" 0.737 0.463 -7.828 0.0792 0.00817 0.447 0.324 123.881 231.733 "Rock"
"Bring Me To Life" "Evanescence" 0.316 0.945 -3.169 0.124 0.00895 1.85e-06 0.32 189.931 235.893 "Rock"
"Chop Suey!" "System Of A Down" 0.42 0.929 -3.899 0.121 0.000353 0.000747 0.3 127.204 210.24 "Rock"
"B.Y.O.B." "System Of A Down" 0.556 0.981 -2.688 0.128 0.00662 0 0.716 101.423 255.467 "Rock"
"Toxicity" "System Of A Down" 0.413 0.873 -4.151 0.0535 0.000264 0.0025 0.481 116.681 218.933 "Rock"
"Highway to Hell" "AC/DC" 0.573 0.913 -4.793 0.132 0.0591 0.00173 0.422 115.715 208.4 "Rock"
"Back In Black" "AC/DC" 0.31 0.7 -5.678 0.047 0.011 0.00965 0.763 188.386 255.493 "Rock"
"Thunderstruck" "AC/DC" 0.501 0.889 -5.175 0.0364 0.000147 0.0114 0.257 133.519 292.88 "Rock"
"T.N.T." "AC/DC" 0.754 0.759 -5.218 0.302 0.153 0.000114 0.435 126.367 214.667 "Rock"
"Sweet Child O' Mine" "Guns N' Roses" 0.449 0.901 -7.711 0.0526 0.141 0.0675 0.696 125.148 356.4 "Rock"
"Welcome To The Jungle" "Guns N' Roses" 0.445 0.955 -8.027 0.0856 0.0326 0.284 0.336 123.343 273.6 "Rock"
"Paradise City" "Guns N' Roses" 0.274 0.949 -8.642 0.0896 0.0214 0.00778 0.497 100.346 406.307 "Rock"
"Knockin' On Heaven's Door" "Guns N' Roses" 0.496 0.739 -7.193 0.0415 0.0211 0.00444 0.378 132.41 336 "Rock"
